n,lam,beta,<H1>,<-err,\int_0^{beta} \dtau <H1(tau)H1>,<--std,\int_0^{beta} \dtau tau <H1(tau)H1>,<--std,\int_0^{beta/2} \dtau tau <H1(tau)H1>,<--std,rng,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time (s)
2,-0.6105527638190955,5.0,0.04408,0.00118041855,0.30536598,0.0076034739,0.763394439,0.0190080791,0.167867577,0.00439928321,1370102282,20000000,1000000,10,1,0,0.15434,6,14.92
2,-0.5954773869346734,5.0,0.0408,0.00111319216,0.269345151,0.00671085668,0.673301324,0.0167806842,0.145976829,0.00378682372,1370102282,20000000,1000000,10,1,0,0.1518,6,14.83
2,-0.5804020100502513,5.0,0.0389,0.00117416979,0.255738513,0.0071234194,0.639325758,0.0178101814,0.13841469,0.00399158565,1370102282,20000000,1000000,10,1,0,0.14678,6,14.91
2,-0.5653266331658292,5.0,0.03458,0.0010149952,0.221836478,0.00581754403,0.554591195,0.0145438601,0.117652573,0.00323478383,1370102282,20000000,1000000,10,1,0,0.14666,6,14.88
2,-0.550251256281407,5.0,0.0313,0.00102500857,0.200125374,0.00599078969,0.500292899,0.0149771579,0.106024322,0.0033156965,1370102282,20000000,1000000,10,1,0,0.14144,6,14.83
2,-0.535175879396985,5.0,0.02882,0.000986062715,0.174134922,0.00580740672,0.435316764,0.0145180452,0.0895624284,0.00325350444,1370102282,20000000,1000000,10,1,0,0.13952,6,15.14
2,-0.5201005025125629,5.0,0.02686,0.000988773123,0.16511017,0.00538367516,0.41275488,0.0134585658,0.0846816665,0.00295556726,1370102282,20000000,1000000,10,1,0,0.1361,6,14.83
2,-0.5050251256281407,5.0,0.02238,0.000774688952,0.132374598,0.00446407927,0.330957046,0.0111611447,0.0662091338,0.00243990587,1370102282,20000000,1000000,10,1,0,0.1306,6,14.85
2,-0.48994974874371855,5.0,0.0206,0.000800702503,0.119804785,0.00415787171,0.29953252,0.0103947855,0.0591876687,0.00227982767,1370102282,20000000,1000000,10,1,0,0.12854,6,14.81
2,-0.4748743718592965,5.0,0.01966,0.000849248191,0.113508856,0.00406913955,0.283792705,0.0101742855,0.0552377768,0.00215724133,1370102282,20000000,1000000,10,1,0,0.12678,6,14.79
2,-0.4597989949748744,5.0,0.01806,0.00079389336,0.101685268,0.00398337865,0.254192598,0.00995668312,0.0492135364,0.00209326444,1370102282,20000000,1000000,10,1,0,0.12328,6,14.74
