n,tau,lam,beta,H1,H1_std,corr,corr_std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,sign,sign_std,q,qmax,time
100,10.150753768844222,1.0,20.0,-0.931587438,0.00707940818,1.03578128,0.00991342833,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.29
100,10.251256281407036,1.0,20.0,-0.931587438,0.00707940818,1.03597206,0.00991456988,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.53
100,10.35175879396985,1.0,20.0,-0.931587438,0.00707940818,1.03625883,0.00991639596,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.36
100,10.452261306532664,1.0,20.0,-0.931587438,0.00707940818,1.03664179,0.0099189115,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.37
100,10.552763819095478,1.0,20.0,-0.931587438,0.00707940818,1.03712123,0.00992212297,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.63
100,10.653266331658292,1.0,20.0,-0.931587438,0.00707940818,1.03769749,0.00992603837,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.82
100,10.753768844221106,1.0,20.0,-0.931587438,0.00707940818,1.038371,0.00993066715,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.66
100,10.85427135678392,1.0,20.0,-0.931587438,0.00707940818,1.03914225,0.00993602012,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.71
100,10.954773869346734,1.0,20.0,-0.931587438,0.00707940818,1.04001179,0.00994210943,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.68
100,11.055276381909549,1.0,20.0,-0.931587438,0.00707940818,1.04098026,0.00994894841,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,11.155778894472363,1.0,20.0,-0.931587438,0.00707940818,1.04204837,0.00995655152,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.6
100,11.256281407035177,1.0,20.0,-0.931587438,0.00707940818,1.04321688,0.00996493418,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.63
100,11.35678391959799,1.0,20.0,-0.931587438,0.00707940818,1.04448666,0.00997411273,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.7
100,11.457286432160805,1.0,20.0,-0.931587438,0.00707940818,1.04585861,0.00998410419,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.78
100,11.557788944723619,1.0,20.0,-0.931587438,0.00707940818,1.04733374,0.00999492621,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,11.658291457286433,1.0,20.0,-0.931587438,0.00707940818,1.04891311,0.0100065969,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.61
100,11.758793969849247,1.0,20.0,-0.931587438,0.00707940818,1.05059787,0.0100191345,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.8
100,11.859296482412061,1.0,20.0,-0.931587438,0.00707940818,1.05238923,0.0100325577,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,11.959798994974875,1.0,20.0,-0.931587438,0.00707940818,1.0542885,0.0100468846,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.75
100,12.06030150753769,1.0,20.0,-0.931587438,0.00707940818,1.05629705,0.0100621337,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.63
100,12.160804020100503,1.0,20.0,-0.931587438,0.00707940818,1.05841632,0.0100783224,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,12.261306532663317,1.0,20.0,-0.931587438,0.00707940818,1.06064785,0.010095468,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.67
100,12.361809045226131,1.0,20.0,-0.931587438,0.00707940818,1.06299326,0.0101135866,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,12.462311557788945,1.0,20.0,-0.931587438,0.00707940818,1.06545422,0.0101326936,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.65
100,12.56281407035176,1.0,20.0,-0.931587438,0.00707940818,1.06803253,0.0101528028,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.8
100,12.663316582914574,1.0,20.0,-0.931587438,0.00707940818,1.07073002,0.0101739268,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.78
100,12.763819095477388,1.0,20.0,-0.931587438,0.00707940818,1.07354866,0.0101960766,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.66
100,12.864321608040202,1.0,20.0,-0.931587438,0.00707940818,1.07649046,0.010219261,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.67
100,12.964824120603016,1.0,20.0,-0.931587438,0.00707940818,1.07955754,0.0102434871,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.64
100,13.06532663316583,1.0,20.0,-0.931587438,0.00707940818,1.08275212,0.0102687595,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.69
100,13.165829145728644,1.0,20.0,-0.931587438,0.00707940818,1.08607647,0.0102950804,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.7
100,13.266331658291458,1.0,20.0,-0.931587438,0.00707940818,1.08953299,0.0103224492,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.73
100,13.366834170854272,1.0,20.0,-0.931587438,0.00707940818,1.09312417,0.0103508626,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.72
100,13.467336683417086,1.0,20.0,-0.931587438,0.00707940818,1.09685257,0.010380314,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.8
100,13.5678391959799,1.0,20.0,-0.931587438,0.00707940818,1.10072087,0.0104107938,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.74
100,13.668341708542714,1.0,20.0,-0.931587438,0.00707940818,1.10473184,0.0104422888,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.73
100,13.768844221105528,1.0,20.0,-0.931587438,0.00707940818,1.10888835,0.0104747821,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.74
100,13.869346733668342,1.0,20.0,-0.931587438,0.00707940818,1.11319338,0.0105082533,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.94
100,13.969849246231156,1.0,20.0,-0.931587438,0.00707940818,1.11765001,0.0105426779,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.72
100,14.07035175879397,1.0,20.0,-0.931587438,0.00707940818,1.12226142,0.0105780274,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.92
100,14.170854271356784,1.0,20.0,-0.931587438,0.00707940818,1.12703091,0.0106142692,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.91
100,14.271356783919598,1.0,20.0,-0.931587438,0.00707940818,1.13196189,0.0106513664,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,26
100,14.371859296482413,1.0,20.0,-0.931587438,0.00707940818,1.13705787,0.0106892778,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.94
100,14.472361809045227,1.0,20.0,-0.931587438,0.00707940818,1.14232249,0.0107279575,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.96
100,14.57286432160804,1.0,20.0,-0.931587438,0.00707940818,1.14775952,0.0107673555,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.96
100,14.673366834170855,1.0,20.0,-0.931587438,0.00707940818,1.15337282,0.0108074171,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.97
100,14.773869346733669,1.0,20.0,-0.931587438,0.00707940818,1.1591664,0.0108480831,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.9
100,14.874371859296483,1.0,20.0,-0.931587438,0.00707940818,1.16514438,0.0108892898,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,26.01
100,14.974874371859297,1.0,20.0,-0.931587438,0.00707940818,1.17131103,0.010930969,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.93
100,15.075376884422111,1.0,20.0,-0.931587438,0.00707940818,1.17767074,0.0109730482,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.9
100,15.175879396984925,1.0,20.0,-0.931587438,0.00707940818,1.18422804,0.0110154507,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.91
100,15.27638190954774,1.0,20.0,-0.931587438,0.00707940818,1.19098759,0.0110580955,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.91
100,15.376884422110553,1.0,20.0,-0.931587438,0.00707940818,1.1979542,0.0111008978,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.93
100,15.477386934673367,1.0,20.0,-0.931587438,0.00707940818,1.20513284,0.0111437692,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.98
100,15.577889447236181,1.0,20.0,-0.931587438,0.00707940818,1.2125286,0.0111866178,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.91
100,15.678391959798995,1.0,20.0,-0.931587438,0.00707940818,1.22014676,0.0112293488,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.94
100,15.77889447236181,1.0,20.0,-0.931587438,0.00707940818,1.22799272,0.0112718646,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.92
100,15.879396984924623,1.0,20.0,-0.931587438,0.00707940818,1.23607208,0.0113140657,3026438146,None,59,100000,1000000,10,0.99946,0.000359654006,2.61362,8,25.94
