n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,-0.44472361809045236,20.0,0.0200581144,0.00205984535,0.0966055456,0.00968106818,0.965370166,0.0966193728,0.0692383013,0.00995423701,3026438146,None,59,100000,1000000,10,1,0,0.67902,6,12.55
100,-0.4296482412060303,20.0,0.0185982516,0.00199924972,0.0857043808,0.00931066534,0.856086454,0.0927222573,0.0593006939,0.0102073679,3026438146,None,59,100000,1000000,10,1,0,0.63264,6,11.88
100,-0.414572864321608,20.0,0.0170983926,0.00184861829,0.0778192677,0.00813745351,0.776948093,0.0812255968,0.0502303003,0.00779636482,3026438146,None,59,100000,1000000,10,1,0,0.63158,6,11.2
100,-0.39949748743718594,20.0,0.016998402,0.00192074625,0.0770474798,0.0083001315,0.7703155,0.0828896846,0.0491061868,0.00788433528,3026438146,None,59,100000,1000000,10,1,0,0.6517,6,11.44
100,-0.3844221105527639,20.0,0.0157185223,0.00184011859,0.0738504009,0.00806088454,0.739822979,0.0808414276,0.0453052405,0.00738234371,3026438146,None,59,100000,1000000,10,1,0,0.69042,10,13.56
100,-0.3693467336683418,20.0,0.0139786859,0.00175750255,0.0630863495,0.00654814477,0.630048872,0.0651125183,0.0355698196,0.00553329825,3026438146,None,59,100000,1000000,10,1,0,0.6406,6,11.32
100,-0.35427135678391974,20.0,0.0114189265,0.00150231138,0.0528028741,0.00508734388,0.52788801,0.0508809227,0.0250937399,0.00344277757,3026438146,None,59,100000,1000000,10,1,0,0.6057,6,10.63
100,-0.33919597989949746,20.0,0.0122388494,0.00163011073,0.0532397256,0.00571122557,0.532377079,0.0570659143,0.0264754026,0.00441960147,3026438146,None,59,100000,1000000,10,1,0,0.58924,6,10.52
100,-0.3241206030150754,20.0,0.0106989942,0.00147931866,0.04917188,0.00499850313,0.491846897,0.0499703554,0.0223369384,0.0035686234,3026438146,None,59,100000,1000000,10,1,0,0.59228,6,10.52
100,-0.3090452261306533,20.0,0.00973908444,0.0014127062,0.0471643748,0.00459046693,0.471643748,0.0459329338,0.0196706267,0.00294265423,3026438146,None,59,100000,1000000,10,1,0,0.60912,6,10.84
100,-0.29396984924623126,20.0,0.0086991822,0.00133853321,0.0431440092,0.00431499875,0.43104423,0.0429490947,0.0176290002,0.0030174707,3026438146,None,59,100000,1000000,10,1,0,0.59418,6,10.77
100,-0.2788944723618092,20.0,0.00947910888,0.00140600697,0.0461254578,0.00444578562,0.462378265,0.0447840434,0.0163127297,0.00272713561,3026438146,None,59,100000,1000000,10,1,0,0.61764,6,11.15
100,-0.2638190954773869,20.0,0.00937911828,0.00141026427,0.0432252029,0.00435724134,0.433759393,0.0439932983,0.0156416053,0.00248565993,3026438146,None,59,100000,1000000,10,1,0,0.61896,6,11.04
100,-0.24874371859296485,20.0,0.0100590544,0.00139765286,0.0441223334,0.00417119023,0.44184853,0.0419027959,0.0157880973,0.00228380308,3026438146,None,59,100000,1000000,10,1,0,0.61658,6,10.94
100,-0.23366834170854278,20.0,0.00823922544,0.00122003475,0.0400565817,0.00388688786,0.400445119,0.0388233783,0.0146497543,0.00265816793,3026438146,None,59,100000,1000000,10,1,0,0.62276,6,11.02
100,-0.21859296482412072,20.0,0.00627940968,0.00121716676,0.0340933956,0.00347115445,0.340312105,0.0345601999,0.0139808843,0.00245549707,3026438146,None,59,100000,1000000,10,1,0,0.5513,6,10.27
100,-0.20351758793969865,20.0,0.0068993514,0.00125345537,0.0354480417,0.00374245385,0.352997175,0.0369871533,0.0144120905,0.00260080875,3026438146,None,59,100000,1000000,10,1,0,0.54336,6,9.86
