n,lam,beta,<rot_H1>,<-err,\int_0^{beta} \dtau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta} \dtau tau <rot_H1(tau)rot_H1>,<--std,\int_0^{beta/2} \dtau tau <rot_H1(tau)rot_H1>,<--std,rng,eps,l,Tsteps,steps,stepsPerMeasurement,<sign>,<--std,<q>,qmax,time(s)
100,1.0,5.0,-0.72387195,0.0110109657,6.66677315,0.100009911,16.6669329,0.250024776,4.07831345,0.0631799087,3026438146,None,59,100000,1000000,10,1,0,0.38468,4,7.4
2,1.0,5.0,-0.7078,0.00297064622,6.60137127,0.0275763893,16.5034282,0.0689409733,4.05098851,0.0171447218,3864133010,None,0,100000,1000000,10,1,0,0.3204,6,1.75
100,1.0,5.0,-0.569461587,0.100867905,5.76269752,1.29413603,14.2155378,3.22803547,3.62353698,0.809169078,3864133010,None,3,100000,1000000,10,0.1496,0.018089008,11.60385,29,880.03
2,1.0,5.0,-0.70826,0.00316054517,6.60251479,0.0296634861,16.506307,0.0741538671,4.05083803,0.018441429,2631191514,None,0,100000,1000000,10,1,0,0.31992,6,1.72
100,1.0,5.0,-0.733410855,0.0825462899,7.17891909,1.51153807,17.9380047,3.78371904,4.40885701,0.943458317,2631191514,None,73,100000,1000000,10,0.1948,0.0220165655,11.71724,28,1467.35
2,1.0,5.0,-0.71066,0.00319202344,6.62407922,0.0291521081,16.5601981,0.0728802701,4.06372796,0.0180035228,1544744623,None,0,100000,1000000,10,1,0,0.32138,6,1.74
100,1.0,5.0,-0.705813381,0.013474953,6.66507336,0.152662815,16.6687957,0.383502368,4.09766159,0.0946640571,1544744623,None,20,100000,1000000,10,0.88542,0.0113774814,1.12948,15,39.19
2,1.0,5.0,-0.71196,0.00288254573,6.64503325,0.0269283203,16.6126556,0.0673206961,4.07747104,0.0167412104,3277886342,None,0,100000,1000000,10,1,0,0.32002,6,1.72
100,1.0,5.0,-0.685386746,0.0183720514,6.28967671,0.185286309,15.7211202,0.463063768,3.84771003,0.114988457,3277886342,None,74,100000,1000000,10,0.93154,0.00916929756,0.92765,13,32.85
2,1.0,5.0,-0.7164,0.00295021611,6.6678421,0.0279474027,16.6696052,0.0698685068,4.08922224,0.0174951387,4109413259,None,0,100000,1000000,10,1,0,0.32744,6,1.65
